2021-03-12 10:55:57 status installed libc-bin:amd64 2.28-10
2021-03-12 10:56:07 startup archives unpack
2021-03-12 10:56:07 install perl-modules-5.28:all <none> 5.28.1-6+deb10u1
2021-03-12 10:56:07 status half-installed perl-modules-5.28:all 5.28.1-6+deb10u1
2021-03-12 10:56:08 status unpacked perl-modules-5.28:all 5.28.1-6+deb10u1
2021-03-12 10:56:08 install libgdbm-compat4:amd64 <none> 1.18.1-4
2021-03-12 10:56:08 status triggers-pending libc-bin:amd64 2.28-10
2021-03-12 10:56:08 status half-installed libgdbm-compat4:amd64 1.18.1-4
2021-03-12 10:56:08 status unpacked libgdbm-compat4:amd64 1.18.1-4
2021-03-12 10:56:08 install libperl5.28:amd64 <none> 5.28.1-6+deb10u1
2021-03-12 10:56:08 status half-installed libperl5.28:amd64 5.28.1-6+deb10u1
2021-03-12 10:56:08 status unpacked libperl5.28:amd64 5.28.1-6+deb10u1
2021-03-12 10:56:08 install perl:amd64 <none> 5.28.1-6+deb10u1
2021-03-12 10:56:08 status half-installed perl:amd64 5.28.1-6+deb10u1
2021-03-12 10:56:08 status unpacked perl:amd64 5.28.1-6+deb10u1
2021-03-12 10:56:08 install readline-common:all <none> 7.0-5
2021-03-12 10:56:08 status half-installed readline-common:all 7.0-5
2021-03-12 10:56:08 status unpacked readline-common:all 7.0-5
2021-03-12 10:56:08 install bzip2:amd64 <none> 1.0.6-9.2~deb10u1
2021-03-12 10:56:08 status half-installed bzip2:amd64 1.0.6-9.2~deb10u1
2021-03-12 10:56:08 status unpacked bzip2:amd64 1.0.6-9.2~deb10u1
2021-03-12 10:56:08 install libpcre2-8-0:amd64 <none> 10.32-5
2021-03-12 10:56:08 status half-installed libpcre2-8-0:amd64 10.32-5
2021-03-12 10:56:08 status unpacked libpcre2-8-0:amd64 10.32-5
2021-03-12 10:56:08 install libpsl5:amd64 <none> 0.20.2-2
2021-03-12 10:56:08 status half-installed libpsl5:amd64 0.20.2-2
2021-03-12 10:56:08 status unpacked libpsl5:amd64 0.20.2-2
2021-03-12 10:56:08 install wget:amd64 <none> 1.20.1-1.1
2021-03-12 10:56:08 status half-installed wget:amd64 1.20.1-1.1
2021-03-12 10:56:08 status unpacked wget:amd64 1.20.1-1.1
2021-03-12 10:56:08 install xz-utils:amd64 <none> 5.2.4-1
2021-03-12 10:56:08 status half-installed xz-utils:amd64 5.2.4-1
2021-03-12 10:56:08 status unpacked xz-utils:amd64 5.2.4-1
2021-03-12 10:56:08 install binutils-common:amd64 <none> 2.31.1-16
2021-03-12 10:56:08 status half-installed binutils-common:amd64 2.31.1-16
2021-03-12 10:56:09 status unpacked binutils-common:amd64 2.31.1-16
2021-03-12 10:56:09 install libbinutils:amd64 <none> 2.31.1-16
2021-03-12 10:56:09 status half-installed libbinutils:amd64 2.31.1-16
2021-03-12 10:56:09 status unpacked libbinutils:amd64 2.31.1-16
2021-03-12 10:56:09 install binutils-x86-64-linux-gnu:amd64 <none> 2.31.1-16
2021-03-12 10:56:09 status half-installed binutils-x86-64-linux-gnu:amd64 2.31.1-16
2021-03-12 10:56:09 status unpacked binutils-x86-64-linux-gnu:amd64 2.31.1-16
2021-03-12 10:56:09 install binutils:amd64 <none> 2.31.1-16
2021-03-12 10:56:09 status half-installed binutils:amd64 2.31.1-16
2021-03-12 10:56:09 status unpacked binutils:amd64 2.31.1-16
2021-03-12 10:56:09 install openssl:amd64 <none> 1.1.1d-0+deb10u5
2021-03-12 10:56:09 status half-installed openssl:amd64 1.1.1d-0+deb10u5
2021-03-12 10:56:09 status unpacked openssl:amd64 1.1.1d-0+deb10u5
2021-03-12 10:56:09 install ca-certificates:all <none> 20200601~deb10u2
2021-03-12 10:56:09 status half-installed ca-certificates:all 20200601~deb10u2
2021-03-12 10:56:09 status unpacked ca-certificates:all 20200601~deb10u2
2021-03-12 10:56:09 install libisl19:amd64 <none> 0.20-2
2021-03-12 10:56:09 status half-installed libisl19:amd64 0.20-2
2021-03-12 10:56:09 status unpacked libisl19:amd64 0.20-2
2021-03-12 10:56:09 install libmpfr6:amd64 <none> 4.0.2-1
2021-03-12 10:56:09 status half-installed libmpfr6:amd64 4.0.2-1
2021-03-12 10:56:09 status unpacked libmpfr6:amd64 4.0.2-1
2021-03-12 10:56:09 install libmpc3:amd64 <none> 1.1.0-1
2021-03-12 10:56:09 status half-installed libmpc3:amd64 1.1.0-1
2021-03-12 10:56:09 status unpacked libmpc3:amd64 1.1.0-1
2021-03-12 10:56:09 install cpp-8:amd64 <none> 8.3.0-6
2021-03-12 10:56:09 status half-installed cpp-8:amd64 8.3.0-6
2021-03-12 10:56:11 status unpacked cpp-8:amd64 8.3.0-6
2021-03-12 10:56:11 install cpp:amd64 <none> 4:8.3.0-1
2021-03-12 10:56:11 status half-installed cpp:amd64 4:8.3.0-1
2021-03-12 10:56:11 status unpacked cpp:amd64 4:8.3.0-1
2021-03-12 10:56:11 install libassuan0:amd64 <none> 2.5.2-1
2021-03-12 10:56:11 status half-installed libassuan0:amd64 2.5.2-1
2021-03-12 10:56:11 status unpacked libassuan0:amd64 2.5.2-1
2021-03-12 10:56:11 install libreadline7:amd64 <none> 7.0-5
2021-03-12 10:56:11 status half-installed libreadline7:amd64 7.0-5
2021-03-12 10:56:11 status unpacked libreadline7:amd64 7.0-5
2021-03-12 10:56:11 install gpgconf:amd64 <none> 2.2.12-1+deb10u1
2021-03-12 10:56:11 status half-installed gpgconf:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:11 status unpacked gpgconf:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:11 install lsb-base:all <none> 10.2019051400
2021-03-12 10:56:11 status half-installed lsb-base:all 10.2019051400
2021-03-12 10:56:11 status unpacked lsb-base:all 10.2019051400
2021-03-12 10:56:11 install libksba8:amd64 <none> 1.3.5-2
2021-03-12 10:56:11 status half-installed libksba8:amd64 1.3.5-2
2021-03-12 10:56:11 status unpacked libksba8:amd64 1.3.5-2
2021-03-12 10:56:11 install libnpth0:amd64 <none> 1.6-1
2021-03-12 10:56:11 status half-installed libnpth0:amd64 1.6-1
2021-03-12 10:56:11 status unpacked libnpth0:amd64 1.6-1
2021-03-12 10:56:11 install dirmngr:amd64 <none> 2.2.12-1+deb10u1
2021-03-12 10:56:11 status half-installed dirmngr:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:11 status unpacked dirmngr:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:11 install libdpkg-perl:all <none> 1.19.7
